,Beat,NEIGHBORHO,Unnamed: 0,X,beat,Crime_Rate,Neighborhood,events,POP,URL,pop,white,black,asian,income,true_crime,events_count,predicted
43,404,Westview,36,61,404,203,Westview,0,3138,http://documents.atlantaregional.com/AtlantaProfiles/T03.pdf,3138,3.4,93.3,0.2,27815,17,0,10.27299334
44,405,"Audobon Forest, Audobon Forest West, Chalet Woods, Harland Terrace, Peyton Forest, Westhaven",37,9,405,158,Harland Terrace,0,4945,http://documents.atlantaregional.com/AtlantaProfiles/I03.pdf,4945,1.1,94.7,0,29397,9,0,11.21155795
45,406,Cascade Avenue/Road,38,21,406,26,Cascade Avenue/Road,0,2307,http://documents.atlantaregional.com/AtlantaProfiles/S03.pdf,2307,1.4,95.6,0.1,29318,4,0,9.233918444
46,407,"Fairburn Mays, Mays",39,31,407,90,Fairburn Mays,3,4095,http://documents.atlantaregional.com/AtlantaProfiles/H03.pdf,4095,0.7,95.9,0.1,26857,8,0,10.77374716
47,408,"Fort McPherson, Venetian Hills",40,32,408,112,Venetian Hills,0,4084,http://documents.atlantaregional.com/AtlantaProfiles/S02.pdf,4084,7.1,89.5,0.4,27096,5,0,11.68374374
48,409,"Adams Park, Laurens Valley, Southwest",41,1,409,217,Southwest,0,6141,http://documents.atlantaregional.com/AtlantaProfiles/R02.pdf,6141,1,95.8,0.3,41234,10,0,10.67642673
49,410,"Campbellton Road, Fort Valley, Pomona Park",42,19,410,201,Campbellton Road,1,6721,http://documents.atlantaregional.com/AtlantaProfiles/R01.pdf,6721,1.9,95.7,0,17414,12,0,14.89396947
50,411,Greenbriar,43,34,411,330,Greenbriar,1,3628,http://documents.atlantaregional.com/AtlantaProfiles/R03.pdf,3628,0.6,97.4,0.1,23958,24,0,10.74363405
51,412,"Ben Hill Terrace, Kings Forest, Old Fairburn Village",44,11,412,47,Kings Forest,0,2719,http://documents.atlantaregional.com/AtlantaProfiles/P04.pdf,2719,1,95.2,0.5,34043,5,0,8.968000975
52,413,"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",45,4,413,19,Arlington Estates,1,3826,http://documents.atlantaregional.com/AtlantaProfiles/P01.pdf,3826,1.2,94.6,0.5,53641,2,0,7.780927844
53,413,"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",45,4,413,19,Arlington Estates,1,3826,http://documents.atlantaregional.com/AtlantaProfiles/P01.pdf,3826,1.2,94.6,0.5,53641,2,0,7.780927844
54,414,Princeton Lakes,46,52,414,197,Princeton Lakes,0,3670,http://documents.atlantaregional.com/AtlantaProfiles/P02.pdf,3670,3,90,1.4,59199,13,0,7.381939484
55,501,Home Park,47,37,501,399,Home Park,7,4706,http://documents.atlantaregional.com/AtlantaProfiles/E06.pdf,4706,45.5,17.1,28.9,42133,27,0,17.08606168
56,502,Midtown,48,46,505,572,Midtown,1,16218,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324,52,0,42.46065838
57,503,Midtown,48,46,505,572,Midtown,1,16218,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324,52,0,42.46065838
58,504,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
59,505,Midtown,48,46,505,572,Midtown,1,16218,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324,52,0,42.46065838
60,506,English Avenue,49,30,506,184,English Avenue,0,3330,http://documents.atlantaregional.com/AtlantaProfiles/L02.pdf,3330,8.7,83.5,1.6,15914,31,0,12.84130343
61,507,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
62,508,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
63,509,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
64,510,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
65,511,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
66,512,"Castleberry Hill, Downtown",50,22,509,473,Downtown,5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956,31,0,32.7517254
67,601,"Atkins Park, Virginia Highland",51,6,601,320,Virginia Highland,8,8475,http://documents.atlantaregional.com/AtlantaProfiles/F03.pdf,8475,84.1,6.1,2.6,73055,24,0,26.40125634
68,602,"Inman Park, Poncey-Highland",52,39,602,417,Inman Park,7,6196,http://documents.atlantaregional.com/AtlantaProfiles/N02.pdf,6196,80.2,9.9,2.9,73546,26,0,20.9933796
69,603,"Old Fourth Ward, Sweet Auburn",53,49,603,458,Old Fourth Ward,10,12326,http://documents.atlantaregional.com/AtlantaProfiles/M02.pdf,12326,32.2,57.2,2.7,38315,22,0,26.61231309
70,604,"Old Fourth Ward, Sweet Auburn",53,49,603,458,Old Fourth Ward,10,12326,http://documents.atlantaregional.com/AtlantaProfiles/M02.pdf,12326,32.2,57.2,2.7,38315,22,0,26.61231309
71,605,"Grant Park, Oakland",54,33,605,338,Grant Park,2,6827,http://documents.atlantaregional.com/AtlantaProfiles/W01.pdf,6827,62.4,27.9,2.2,74581,23,0,17.18750767
72,606,"Cabbagetown, Reynoldstown",55,18,606,154,Reynoldstown,0,3750,http://documents.atlantaregional.com/AtlantaProfiles/N01.pdf,3750,59.1,31,2.3,48287,13,0,17.71680548
73,607,"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills",56,12,607,87,Custer/McDonough/Guice,0,3305,http://documents.atlantaregional.com/AtlantaProfiles/W02.pdf,3305,31.9,46.4,0.9,44530,6,0,12.48739067
74,608,"Candler Park, Druid Hills",57,20,608,144,Candler Park,18,4742,http://documents.atlantaregional.com/AtlantaProfiles/N03.pdf,4742,83.1,6.9,3.3,85889,7,0,16.93285488
75,609,Edgewood,58,29,609,385,Edgewood,0,4072,http://documents.atlantaregional.com/AtlantaProfiles/O03.pdf,4072,31.9,61.1,1.7,37367,11,0,14.38149267
76,610,Kirkwood,59,41,610,124,Kirkwood,1,5688,http://documents.atlantaregional.com/AtlantaProfiles/O02.pdf,5688,44.6,49.1,1.5,52773,11,0,16.06370806
77,611,"East Lake, The Villages at East Lake",60,28,611,116,East Lake,17,4046,http://documents.atlantaregional.com/AtlantaProfiles/O01.pdf,4046,27.2,67.7,0.9,41838,12,1,15.54267204
78,612,East Atlanta,61,27,612,224,East Atlanta,4,5101,http://documents.atlantaregional.com/AtlantaProfiles/W04.pdf,5101,42.1,52.2,1.1,38960,9,0,17.461372
79,613,Morningside/Lenox Park,21,47,213,44,Morningside/Lenox Park,0,8307,http://documents.atlantaregional.com/AtlantaProfiles/F04.pdf,8307,85.2,5.1,2.4,113073,0,0,16.60142124
80,614,Midtown,48,46,505,572,Midtown,1,16218,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324,52,0,42.46065838
